,time,count,frame
360,2017-10-23 02:24:59.099999760,229,360
361,2017-10-23 02:25:23.264166426,226,361
362,2017-10-23 02:25:47.428333092,226,362
363,2017-10-23 02:26:11.592499758,228,363
364,2017-10-23 02:26:35.756666424,228,364
365,2017-10-23 02:26:59.920833090,228,365
366,2017-10-23 02:27:24.084999756,224,366
367,2017-10-23 02:27:48.249166422,225,367
368,2017-10-23 02:28:12.413333088,227,368
369,2017-10-23 02:28:36.577499754,226,369
370,2017-10-23 02:29:00.741666420,223,370
371,2017-10-23 02:29:24.905833086,223,371
372,2017-10-23 02:29:49.069999752,225,372
373,2017-10-23 02:30:13.234166418,221,373
374,2017-10-23 02:30:37.398333084,219,374
375,2017-10-23 02:31:01.562499750,217,375
376,2017-10-23 02:31:25.726666416,216,376
377,2017-10-23 02:31:49.890833082,216,377
378,2017-10-23 02:32:14.054999748,212,378
379,2017-10-23 02:32:38.219166414,210,379
380,2017-10-23 02:33:02.383333080,208,380
381,2017-10-23 02:33:26.547499746,208,381
382,2017-10-23 02:33:50.711666412,208,382
383,2017-10-23 02:34:14.875833078,207,383
384,2017-10-23 02:34:39.039999744,206,384
385,2017-10-23 02:35:03.204166410,204,385
386,2017-10-23 02:35:27.368333076,204,386
387,2017-10-23 02:35:51.532499742,206,387
388,2017-10-23 02:36:15.696666408,205,388
389,2017-10-23 02:36:39.860833074,206,389
390,2017-10-23 02:37:04.024999740,203,390
391,2017-10-23 02:37:28.189166406,202,391
392,2017-10-23 02:37:52.353333072,202,392
393,2017-10-23 02:38:16.517499738,202,393
394,2017-10-23 02:38:40.681666404,202,394
395,2017-10-23 02:39:04.845833070,199,395
396,2017-10-23 02:39:29.009999736,199,396
397,2017-10-23 02:39:53.174166402,199,397
398,2017-10-23 02:40:17.338333068,198,398
399,2017-10-23 02:40:41.502499734,198,399
400,2017-10-23 02:41:05.666666400,195,400
401,2017-10-23 02:41:29.830833066,193,401
402,2017-10-23 02:41:53.994999732,193,402
403,2017-10-23 02:42:18.159166398,193,403
